number	Css-class	
0152	.iconButton-expandLayrset	レイヤーセットをアニメに展開
0153	.iconButton-expandAll	レイヤーをアニメに展開
0154	.iconButton-flagBox	フラッグ四角
0155	.iconButton-flagMinus	フラッグマイナス
0156	.iconButton-flagPlus	フラッグプラス
0157	.iconButton-flagCircle	フラッグ円
0158	.iconButton-flagCross	フラッグバツ
0159	.iconButton-flagTriangle	フラッグ三角
	/*	
	*/	
160	.iconButton-goWorkAreaHead	ワークエリア先頭へ移動
161	.iconButton-goWorkAreaTail	ワークエリア末尾へ移動
162	.iconButton-setWorkAreaHead	ワークエリアの先頭にする
163	.iconButton-setWaokAreaTail	ワークエリアの末尾にする
164	.iconButton-extractWorkArea	ワークエリア展開
165	.iconButton-liftWorkArea	ワークエリアをリフト
166	.iconButton-moveStartTL	タイムラインの先頭へ
167	.iconButton-moveEndTL	タイムラインの末尾へ
168	.iconButton-setStartTL	タイムライン先頭にする
169	.iconButton-setEndTL	タイムライン末尾にする
170	.iconButton-splitTL	タイムラインを切り分ける
171	.iconButton-putKey	キーフレームを置く
172	.iconButton-removeKey	キーフレーム削除
173	.iconButton-shiftKey	キーフレームをシフト
174	.iconButton-goToTime	時計
175	.iconButton-bigMinus	マイナス
176	.iconButton-goBWD	後ろへ
177	.iconButton-goFWD	前へ
178	.iconButton-pause	一時停止
179	.iconButton-goFFWD	早送り
180	.iconButton-goFBWD	早戻し
181	.iconButton-goNext	次へ
182	.iconButton-goPrev	前へ
183	.iconButton-stop	停止
184	.iconButton-eject	取り出し
185	.iconButton-OPEN	開く
186	.iconButton-OPENFS	ファイルシステムを開く
187	.iconButton-OPENNF	ネットデータを開く
188	.iconButton-removeItem	アイテム削除
189	.iconButton-eliminate	抹消
190	.iconButton-markON	マークオン
191	.iconButton-mark	マーク
192	.iconButton-buildXPS	タイムシート適用
193	.iconButton-editXPS	タイムシート編集
194	.iconButton-linkXPS	タイムシート連携
195	.iconButton-FPS	FPS
196	.iconButton-movieFrame	ムービーフレーム
197	.iconButton-moieFrameSetting	ムービーフレーム設定
198	.iconButton-hamberger	ハンバーガー
199	.iconButton-doner	ドネル
200	.iconButton-kebab	ケバブ
201	.iconButton-meatball	ミートボール
202	.iconButton-bento	ベントー
203	.iconButton-gostop	一方通行
204	.iconButton-goloop	ループ再生
205	.iconButton-noReader	カウントリーダーなし
206	.iconButton-countReader	カウントリーダーあり
207	.iconButton-markOFF	マークなし
208	.iconButton-ONS	透過
209	.iconButton-ONSsetting	透過設定
210	.iconButton-ONS_0	透過なし
211	.iconButton-ONS_1	透過１枚
212	.iconButton-ONS_2	透過２枚
213	.iconButton-ONS_3	透過３枚
214	.iconButton-ONS_4	透過４枚
215	.iconButton-traceBlack	黒をトレース
216	.iconButton-traceR	赤をトレース
217	.iconButton-traceG	緑をトレース
218	.iconButton-traceB	青をトレース
219	.iconButton-traceC	シアンをトレース
220	.iconButton-traceM	マゼンタをトレース
221	.iconButton-traceY	イエローをトレース
222	.iconButton-traceGY	黄緑をトレース
223		ブランク
	.iconButton-	
	*/	
224	.iconButton-addItem	アイテム追加
225	.iconButton-editItem	アイテム編集
226	.iconButton-issue	発行
227	.iconButton-merge	回収
228	.iconButton-salvage	引き上げ
229	.iconButton-STORE	DB格納
230	.iconButton-STOREFS	ファイル格納
231	.iconButton-STORENF	ネット格納
232	.iconButton-checkOut	チェックアウト
233	.iconButton-checkIn	チェックイン
234	.iconButton-sinkUAT	UAT登録
235	.iconButton-floatUAT	UATから切り離し
236	.iconButton-receipt	受領
237	.iconButton-branch	ライン分岐
238	.iconButton-abort	制作中断
239	.iconButton-destroy	作業破棄
240	.iconButton-message	メッセージ
	`241~271 空白	
272	.iconButton-checker	チェッカー
273	.iconButton-cell	ノーマライズ
274	.iconButton-separation	レイヤー分離
275	.iconButton-traceAll	白を透明
276	.iconButton-traceFGC	前景色以外透明に
277	.iconButton-traceK	黒以外を透明に
278	.iconButton-tracePPP	トレス線抽出
279	.iconButton-paintLayer	彩色レイヤーを作る
280	.iconButton-thiningLine	細線化
281	.iconButton-borderFill	境界線を塗る
282	.iconButton-smoother	スムーズ
283	.iconButton-colorBox	色指定ボックスを追加
284	.iconButton-colorInfo	カラー情報
285	.iconButton-picupColor	色線抽出
286	.iconButton-picupGray	無彩色を抽出
287	.iconButton-picupDrawing	線画を抽出
